54,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
55,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
56,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
57,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
58,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
59,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
60,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
61,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
62,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
63,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
64,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
65,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
66,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
67,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
68,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
69,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
70,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
71,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
72,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
73,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
74,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
75,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
76,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
77,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
78,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
79,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
80,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
81,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
82,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
83,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
84,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
85,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
86,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
87,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
88,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
89,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
90,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
91,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
92,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
93,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
94,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
95,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
96,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
97,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
98,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
99,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
100,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
101,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
102,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
103,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
104,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
105,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
106,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
107,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
108,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
109,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
110,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
111,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
112,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
113,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
114,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
115,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
116,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
117,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
118,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
119,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
120,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
121,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
122,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
123,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
124,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
125,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
126,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
127,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
128,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
129,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
130,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
131,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
132,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
133,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
134,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
135,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
136,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
137,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
138,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
139,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
140,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
141,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
142,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
143,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
144,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
145,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
146,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
147,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
148,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
149,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
150,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
151,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
152,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
153,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
154,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
155,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
156,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
157,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
158,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
159,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
160,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
161,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
162,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
163,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
164,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
165,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
166,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
167,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
168,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
169,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
170,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
171,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
172,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
173,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
174,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
175,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
176,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
177,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
178,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
179,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
180,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
181,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
182,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
183,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
184,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
185,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
186,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
187,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
188,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
189,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
190,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
191,2016-06-24 16:38:10,诺盾电脑,我冠希哥才是真男人！有男人的担当
192,2016-06-24 14:52:10,十个美梦盖过了天空,还是当年冠希哥有责任，出事马上道歉，并宣布永久退出娱乐圈
193,2016-06-24 14:37:46,Bong cheol,上了多少个 数不清， 我就知道里头有个未成年
194,2016-06-24 12:50:44,💘小小罗,我靠一群人就是有病，那个小鸡娜一张恶心网红脸，一群屌丝硬说好看，恨不得自己有个这样的女票吧，告了鸡娜你们喷吴亦凡，不告也喷，说明一群屌丝本来就看不惯吴亦凡，这次出事儿了终于有资格喷了
195,2016-06-24 12:41:52,木乃伊（⊙︿⊙）,大家为他搭建一个野种福尔摩斯塔吧野种
196,2016-06-24 12:12:00,晓晓,他做了什么伤天害理的事？不就谈了个恋爱碰上了个婊子么？该女贱怪得了谁，心机婊，想出名想疯了！
197,2016-06-24 12:04:30,橙子,所以告的是卓伟喽？
198,2016-06-24 11:28:34,青青子衿,这女的也是有后台撑腰的
199,2016-06-24 10:19:47,碧玉含烟 ,就得用法律保护自己，
200,2016-06-24 10:06:21,就你最皮,妈的把人上了还去告别人，自己把人上了玩消失人家没告你就好了，垃圾人，以后都别看他演的电影，看他妈的还怎么混
201,2016-06-25 18:11:43,action,青蛙女 真有意思 也真好意思跟一个只是像吴亦凡的男的。也是让人呵呵 好吧 想说 青蛙女火了就tm得了 别在那扯淡了 做人基本的尊严都没有就别做了
202,2016-06-25 17:39:14,话里人.,
203,2016-06-24 22:53:16,*****,都说吴单方面消失，玩完甩，是道德问题，我看不是，这女的不经吴同意就出现在人家家人和媒体面前，这样做法让吴很反感，所以才分的，这人做事没分寸，或者存心不良，这应该是让吴受不了了的地方，所以分手，我看吴没错，我完全理解，要我也烦了，明星交往肯定做事很慎重，还没交往很深，当然不能曝光了，可这女的什么都不管，直接就我行我素，不分才怪
204,2016-06-24 15:46:52,yanzi,友谊的小船说翻就翻
205,2016-06-24 14:51:03,磕磕绊绊从不言分离$,只能说一句，娱乐圈不是我们能理解的，好可怕
206,2016-06-24 14:15:04,心的衣裳,如果不是脑残粉，人家女孩不会爆出这么多。你们在骂，她还会爆更多，真为自己偶像好，就面对现实。长点心吧
207,2016-06-24 13:19:54,[Nee_R],别的不用说，把人床照发到网上就是不行，别说是明星，这婊婊既然留下这么多手笔！分明找死，难怪凡不要她了
208,2016-06-24 12:52:59,风云,此女绝不简单，谈恋爱还录音
209,2016-06-24 12:50:58,今天今天星闪闪,提起裤子就走人。我喜欢。
